id,indivfinfeel,immfeel
438,Scared,Enhances the country with diversity.
439,,
440,ok at time,no more immigrants
441,"It couldn't be much worse, the Ontario government doesn't care about low income families.",I think we need to deal with the problems we have instead of bringing more problems into Canada
442,Na,
443,I'm coping,"I am an immigrant from the UK...I feel desperately sorry for these displaced people...through no fault of their own; having said that, I wish some of them would be encouraged to settle in other places besides big cities"
444,"barely scraping by - have to work extra hours to afford decent food to eat, clothes that need replacing, car maintenance etc.",better provided for with our taxes than people working in lower income jobs
445,"Making ends meet, but a little extra money would go a long way.",Support it. Good for the country overall.
446,On disability and struggling to make ends meet,Takes away our jobs and they want their religious   Needs making Canada cater to them
447,we are a single income family because of our autistic sons.  If we earn too much we loose his funding so we cannot get ahead because of this,some are hard working and deserve to come.  Just wish some would shower more
448,it could always be better,Canadians come first
449,,
450,Getting harder to save money as price of everything keeps going up but my pensions don't cover the increase.,We should stop immigration until we vet them properly and should not allow them to be subsidized by welfare. We are allowing too many compromises regarding immigrants. If they do not want to assimilate they should leave.
451,"I think that we're getting taxed too much, utilities have gone up too much, the pensions are not getting better and prices are higher than before. Everything is more expensive, and we're barely make ends meet.","I think that Canada is a great place to bring new emigrants and we have the space for them, but I disagree with the fact that most immigrants are located in Toronto, I'm sure that the rest of Ontario would be just as welcoming and helpful and the housing wouldn't be a problem."
452,Poor but improving,
453,"Feel somewhat happy with it, but can always improve on it.",not sure
454,satisfied,too much of a free for all! little to no regard for taxpayers and established traditions. Canada worries too much what others will think
455,Trying to live on CPP & OAS with the current financial atmosphere in Ontario has proven to be a challenge,"I think that we should stop taking in immigrants until we can sustain the current population.  Also, they should not be allowed into our country unless they are self-supporting.  As tax-payers we should not pay for them.  They have received a better standard of living than our senior citizens who have lived here, paid taxes and supported themselves all their lives."
456,Managing,The government needs to re-investigate this area as there are many changes that need to be made.
457,,
458,,
459,,
460,NOT GOOD,"REALLY BAD,WAY TOO MANY IMMIGRANTS HERE.TRUDEAU SHOULD STOP LETTING MORE IMMIGRANTS IN.THEY GO ON WELFARE, HAVE KIDS HERE & OVER POPULATE US & STRAIN OUR ECONOMY & HEALTH CARE SYSTEM"
461,live by pay cheque to pay cheque,"due to the aging population , we do need younger immigrants to make the economy going"
462,Retired without a pension. I rent in an area where it's expensive,"We should allow people to immigrate, but not allow them to walk across the border in Quebec"
463,,
464,"Could be better. Living on OW doesn't give a person much. I've been actively looking for employment, 180 applications sent in the last several months. Its a struggle to survive.","Canada is doing more than most countries in terms of immigration. This is the best place people could immigrate too. And people know that. It doesn't always benefit though. For example, in Brampton, Indian families are bigger and sometimes wealthier. So the candidate running in the election at the time (last one) wanted to use empty space for large $600,000+ houses only. As oppose to more affordable houses for new homeowners or space for library and parks or businesses to increase employment. This is why I had to vote in the last election. To make sure they did not win."
465,"It sucks. Although minimum wages have gone up, so have taxes and prices of other things needed to survive.","I think that we benefit from it, from the experience and culture that immigrants bring to this country."
466,Poor lame bored stress,
467,We are able to afford everything but there is not a lot of room for extras so it's stressful sometimes.,I don't think much about it but overall I think it's fine that people come to live in our country
468,My total family household income is very good. My personal income is not.,I don't have a strong opinion either way but I do think they take jobs away from Canadians and might cause a strain financially.
469,,
470,"BARELY ABLE TO MAKE ENDS MEET, HAD TO CUT BACK OF FOOD BUYING DUE TO HIGHER TAXES ON EVERYTHING AND HIGHER BILLS DUE TO THAT CARBON TAX-A TAX ON A TAX.","ALL POLITICAL PARTIES IN BOTH FEDERAL AND PROVINCIAL TOP PRIORITIES SHOULD BE TO THE CANADIAN PEOPLE, AND STOP IMMIGRATION THE WAY THEY ARE DOING IT.  CANADIANS SHOULD COME FIRST-BE IT VETS-SENIORS-DISABLED-HOMELESS-TRY LOOKING AFTER YOUR OWN FIRST AND FOREMOST."
471,I am comfortable with my current income. Would more money be great sure.,I cannot believe the amount of garbage that is allowed to come into our country. Why should we allow these people to take over and  cleft us to confirm to them. They should be adopting our way of life not the other way around. Keep Allah out of our country
472,not very good,immigrants have a positive impact on Canada
473,stable. able to save a lot,pro
474,,
475,COMFORTABLE WITHIN MEANS,OK
476,I am alright,It's great
477,Need more opportunities that I choose to make important and having help in getting me there would none more helpful,Needs To Lighten Up
478,GREAT,GREAT
479,Holding steady,Should be strictly monitored
480,FAIRLY STEADY,good with appropriate precautions
481,good,meh
482,I retired in September 2017. I am 61 years old. I am in a good personal financial situation.,Numbers should be limited. A person who is immigrating should have enough financial resources brought with them to take care of themselves without help from the government. They should be willing to accept the Canadian way of living and not expect that the religions and values they bring with them to be recognized and honored by society.
483,,
484,,
485,,
486,,
487,,
488,Scared,Unsure
489,okay at best,don't have much of an opinion
490,I feel trapped by student debt and rent and not being able to live off a basic salary of even 40000 a year because of the current state. so I have to work 2 jobs which is killing my energy and mental health,"I have immigrants in my family, and I love and respect them. But I also think we have a large amount of people here from birth suffering so we should spend more to help them to"
491,I feel it is not that good. With the income in Ontario a family can never buy a house.,Immigration is good when the immigrants that come integrate into the society and work to support themselves. However when immigrants come and live on child benefits and welfare it is very unfair for those who work day and night to provide for their family to then have immigrants come and take their tax money while doing nothing.
492,good,good
493,,
494,Not very good,Do more screening
495,Not bad but could be better,do not increase
496,ok,I feel like the government needs to focus on the people here and how to help the people here instead of inviting more people into the country
497,always a struggle,best to help those who need
498,I feel like I have to budget carefully,I feel they should be legal to enter
499,Depressed,Positive
500,I feel comfortable.,I think too many people are allowed to immigrate. Canadians that work hard and have permanent jobs are flipping the bill.
501,Wish I made more money,As long as they come here legally otherwise send them home
502,future is difficult,too much
503,barely meet the need,I immigrated to Canada 27 years ago.  I think Immigrants help Canada to grow global
504,,has preference for certain groups or religions
505,It is comfortable,It is very beneficial for the country
506,,
507,"My personal finance has gotten worse but I have created a budget in order to improve financial situation. Because of all the unnecessary things cut down, I am able to improve my budget to feel better about my personal financial situation.","Immigration of Canada is doing a great job with keeping criminals and suspected criminals out of the country. Criminals in Canada try to degrade our country without trying to make our place to better live. Our Canadian laws are set up well to have reduced violent crimes and we are seeing improvements for Immigrants in Canada as well. Government is spending money to improve education and laws for everyone to live a better life, decrease crime rate  and protect us."
508,,
509,"I was forced to retire at a younger age than I planned, because of my health and the damage my job has done to my body. Because of this we just barely get by. My wife doesn't work.....she has always been a stay at home mom because we have a handicapped daughter. Now we need to depend on my pension, which is less because I had to retire early. Fortunately for us, we have our faith in a Great God that cares and looks after us.... so our needs are met!","I believe immigrants made this country great, but (and my parents are both immigrants), proper screening needs to be done. And the country cannot let in as many immigrants as it has. More countries need to come to the plate and help immigrants. There is a need, but one country cannot do it all. I believe in immigration and helping those in need, but it has to be done the right way or the entire country will suffer."
510,It is tight now until I be officially senior.,To be encouraged to be increased.
511,I feel my family is struggling and going into debt just to make ends meat,I have mixed feelings
512,Very satisfied.,It's what got me here.
513,How often do you drink soft drinks.,How often do you drink soft drinks.
514,"I'm ok as long as I keep those thieving Liberals, Insane NDP and loony Green Party away from it",it has to stop and the illegals should be expulsed
515,"I live comfortably but don't like to see the constant increase of prices for food, hydro, gas and water",Good to consider as long as Canada it smart enough to bring in people who contribute to the economy and life in Canada in general
516,Slowly going down the tubes.,"In my opinion, it should be curbed to a certain degree as the government does not do enough for the aboriginal rights that have been stomped on for decades. And then all were given back as a little plot of land would idly on it, not proper clean running water, and then all these people come, they get grants, they get loans, they get free housing, they're given money shelter, but the people that the government have screwed over for decades in the world's biggest genocide are getting screwed."
517,,
518,"I'm retired, not working, don't expect any changes in near future",too easy to get in
519,,
520,Amazing.,It has to slow down.  We are like a 24 hour buffet.  Everyone gets fed.  Enough for now.
521,,
522,we are basically making it  but every time you turn around things go up and pensions stay the same,some people should stay where they are if they can't respect our laws
523,,
524,,
525,to little money,it helps the country grow
526,moderate,"need to reduce it,"
527,Confused; but holding my own......,Should be more control.
528,tight,look after our own underprivileged and then import others
529,hard to pay bill,more change
530,they are ok,"they should be shipped back where they came from,"
531,,
532,Enjoying a no frills retirement,Nobody should feel uneasy about it
533,,
534,Could be better,Neutral
535,It's okay,It's okay
536,stable but always concerned/thinking about how to save for retirement,I feel people should have the opportunity for a better life
537,good,too liberal
538,,
539,getting by could be better,seniors should get more than them
540,,
541,"I'm on disability and living from payment to payment. I'm in debt and can't afford monthly expenses let alone the luxury of going out to a restaurant or a movie. I'm not really living, I'm existing.","I think it is a positive thing. The determination of who is qualified needs some fine tuning, but overall I think it is working to some degree."
542,,
543,comfortably middle class,Government of Canada is doing a good job
544,Can never seem to get ahead and yet companies are making large amount of profits and crumbs are trickled down to the average worker who only gets 2 weeks vacation like a slave that did something right,The process takes way too long
545,Stable,Adequate
546,It's tight. With two step daughters going to college in the fall it will get even tighter.,My wife and my two step daughters are immigrants so for me I have a different perspective. It is a positive without a doubt. They are perfect examples of how you can enter the country the proper way and receive everything they need with the current spending.
547,,
548,bla,not needed
549,,
550,I Was Forced Into Retirement And It Is Really Hard To Find Work At My Age,Bomb The Boats Feed The Fish
551,"My wages have increased, but with the rising costs of living, it hasn't made a big difference.","Immigration is fine, as long as they become contributing citizens and not just sitting on welfare and taking advantage of taxpayers."
552,its ok,should be tightened
553,fuck,fuck
554,great,bs
555,,
556,"can not complain, but could be better",focus could be switched more form Asia to Europe
557,"Its OK, I earn enough for us to save something each month",we need tighter policies and people need to be able to support themselves and not rely  on the government for handouts.
558,Not good,Ok
559,just getting by month to month...hoping nothing unexpected comes up,keep it at a status quo and don't go overboard with the number of immigrants being let into the country
560,,
561,,
562,good,good
563,DOING OK.,POSITIVE BUT TAKEN ADVANTAGE OG.
564,I feel pretty good about it,do not particularly care about it.
565,,
566,Just scrapping by,Too many immigrants are seeking asylum here and taking jobs away from people born here
567,a bit worried,
568,we have a hard time paying all the bills,"use the proper channel to come and live here, once here get to work no welfare."
569,none,none
570,I am comfortable at the moment,we have to stop the illegal crossings so that those in the system can fairly get in before anyone else barges their way in. Enforce the laws and send the illegals back
571,Could be better,Should be mandatory they speak fluently one of the National language
572,not optimistic,the more the merrier but lets make sure that we are careful about who we let in and should not be worried about sending people back
573,getting by but not able to save,too many coming over the illegally
574,"Not great, but doing ok.",need some level of immigration
575,TRAGIC,"IT IS OK, BUT IT SHOULD BE STRONGLY CONTROLLED WHO IS COMING TO CANADA"
576,Just getting by,Diversity is great for Canada.
577,"Budgeting is important. Rent, insurances, groceries take up the income.",Canada has space to help newcomers.  Newcomers can contribute and be part of a diverse population.
578,its enough to get by on with no extra leftover,there is a place for people of all kinds to be in this country as long as they are properly scrutinized and come in legally
579,Surviving,I came to Canada as a refugee and I have not been a burden to the government. Most immigrants are honest.
580,SATISFIED AT PRESENT,HELPS TO MAINTAIN WOKFORCE AS POPULATION AGES
581,,
582,,
583,stressed,Need experienced or at least qualified workers
584,na,na
585,its good,should be expanded
586,,
587,It's getting better,Needs to lessen a bit. Too crowded.
588,Very disturbing,Burden
589,good,poor
590,could always do with more,"ideals are great, but the devil is in the details... we need to do things smarter, not just throw more money at problems"
591,getting by,allow to many
592,Not,Not
593,I have a good pension and own my own home so I feel comfortable,"Too many, too fast and inadequate screening"
594,,
595,,
596,,
597,,
598,its improving,too many immigrants in a few select cities
599,Moderate,good system
600,I'm on ODSP I have to carefully watch every penny which makes my physical & mental wellbeing difficult at times,Legal immigration is fantastic we just need to speed that process up & also need to help professionals immigrating here to get credentials to be able to use their skills
601,It is managing.,Too many people coming in.
602,getting worse,The quality of immigrants coming into Canada during the past 25 years are really low. They don't want to integrate and adapt political tribeness.
603,getting by but more secure than some people I know,maintain the system
604,On fixed retirement income that allows for some latitude in discretionary spending,"Being an immigrant myself, nothing was handed to me free other than the opportunity to succeed with personal initiative and drive."
605,Prices and bills seem to increase at a faster pace than my income and I'm not looking forward to potentially higher costs.,"Immigration is supposed to help our economy and be a benefit to Canadians, apparently to maintain population and a workforce, and funding our CPP and other benefits. Studies show it as a net cost when many are working low skill and wage jobs any paying little taxes compared to family costs for benefits."
606,viol1tbyteviol1tbyteviol1tbyteviol1tbyteviol1tbyteviol1tbyteviol1tbyteviol1tbyteviol1tbyteviol1tbyte,viol1tbyteviol1tbyteviol1tbyteviol1tbyteviol1tbyteviol1tbyteviol1tbyte
607,"I feel good about my personal financial situation, and hope it gets more better","I think Canada is one of the top countries accepting immigration, and in my opinion, I think it's a good thing"
608,"its ok, but could be better",not well controlled...people without English knowledge immigrate to Canada
609,My financial situation is okay.,"immigrant to Canada if properly set out and policy followed could be a boon for Canada. Given what is happening in other countries,  we have to be careful who is brought in.  Adequate screening is necessary."
610,like it to be better,should not be happening or not as much
611,ok,don't mind it
612,no,it should be encouraged
613,unemployed & looking 4 decent job now :(,good for Canada...
614,It sucks. I am barely getting by and had to resort to payday loans that are difficult to get out of.,"If they would enter the country in the proper way, not border jumping illegally, I am fine with it."
615,okay,too easy to get in
616,It's okay,It's a good thing
617,My family manages to survive with our present financial situation but our income is barely keeping up with the cost of living.,The way that immigration is being handled is fine with me
618,Not really bad.,ok
619,"I barely scrape by, yet I make decent money",We need a larger population in Canada
620,,
621,poor,we have too many
622,Financial situation is fine....but the Liberal govt messed up our chance to sell our home...and cost us a lot of money!,Let people in who will benefit the county based on merit - as we do now.
623,,
624,Steady but needs improvement.,More background check is needed.
625,need to retain more disposable income...restaurant meals are now more expensive due to higher min. wage. This didn't solve the plight of min. wage workers; it's a social issue put onto the backs of owners who have to let workers go ; shorten hours worked ; and increased their work load. stupid idea.,The bleeding heart liberals are permitting additional family members that are not directly related into this country putting additional strain on our valued social and educational services at the expense of tax paying Canadians. How dare they enter our country (3600) last year and EXPECT to be treated with compassion ?
626,Not too bad.,It's a blessing that Canada is composed of immigrants from people all over the world.
627,"Personal finance is ok & will be ok unless the Liberals or worse, if the NDP win controlling position.","Legal immigration is not the problem. 

Illegal immigrants have more benefits than our seniors!"
628,Struggling worse every 4 months with food prices increasing,I'm ok with it
629,Hydro  rates to high and local municipal taxes increasing to fast.,Controlled numbers and fewer refugee claimants at Canada-US border crossings.
630,,
631,,
632,pay cheque to pay cheque,good
633,not that great,it is needed
634,"It's currently stable, with little chance for improvement.",I'm indifferent to it.
635,Ok but nothing special.,Way too accommodating
636,"I am on public assistance and $700 a month in Toronto is NOT enough to survive,",I am an immigrant so not complaining
637,,
638,If I could keep more of MY income and not have it sucked away in taxes I would be doing ok.  But taxes and ever increasing prices on EVERYTHING is killing me!,"Too many undesirables coming in and Trudeau is giving them everything. Far too many Muslims (and in my view, ONE is ONE TOO DAMN MANY)! I have no problem with Indians but why do we have so many?  Why not more Filipinos, Vietnamese, Taiwanese, Koreans etc.?"
639,my disability pension barely covers my expenses and my spouse and I have no choice but to use the food bank,immigration is good if we bring the non criminal immigrants who want to have a better life in Canada and live by our laws. If they don't want to follow the laws don't come to Canada. I feel that the majority of immigrants are good people and have a lot to offer Canada and should not be punished for the few that are bad
640,I'm happy where I'm at,"more stringent controls on who are real immigrants, vet them properly"
641,"Over the last Number of years, my income has not kept up with inflation.","Too many coming in through improper channels. They should be turned back, not brought in with open arms. When they come in they should not go on welfare. We're the laughing stock of the world."
642,ok for now,people with skills and willing to contribute to society should be let in
643,hopeless and worried,not done properly
644,feels good man.,"I feel in general it works well, but with all things there are abuses and people who slip through the cracks."
645,"I make good money, but I don't make enough to help my son go to university.  I make too much for him to get student loans. It's tough for us to find a way to get him to school.","We are a nation made up of diverse peoples.  To turn our backs on people who want to be here, who want to contribute, would be wrong."
646,,
647,could be better,"positive but would like discrimination in hiring based on ""Canadian experience"" to be ended by strict law enforcement so that educated immigrants are made more welcome - also would like refugee immigration to consider skills along with level of persecution"
648,expenditures exceed income,there should be a plan so refugees will become a social burden forever
649,Struggling to pay bills and rent.,It's fine
650,it's fine,Canada tends to over react
651,it is hard to make ends meet now.,"it is good to help people, but more focus should be placed on the working poor within our own country."
652,"good, but could be better","lock down the country in 2020, no new immigrants!!!"
653,shaky,"too much, should not settle in GTA only"
654,things keep getting more expensive,love it
655,,
656,Terrible,Send them all back.
657,Bad,Good
658,OK,"We need capable

 people"
659,Finding it hard to make ends meet,We should help our own people first
660,,
661,,
662,we are retired and don't spend a lot of money,We do more for immigrants than we do for our seniors in Canada
663,"I am so tired and weary of trying to keep up with life being on such a low income for such a long time. I more often than not,  just feel like giving up. I have always felt as though I am being punished for being unable to work and REALLY...this is the case. 

 

 It is shameful that people are and have been for such a long time, essentially being punished for being unable to work and have to live like this, in poverty and severely stressed all of the time.",with housing and all other aspects of the effect of so many immigrants...the government cannot take care of the people that live in this country let alone bringing in more....just keeps everybody in poverty
664,,
665,ok,out of control
666,I need to spend less.,It should stop for people not willing to work and contribute to society.
667,Reasonably satisfied...,Always good...  Has been forever...
668,"I feel that the cost of life (such as groceries, gas, daycare, etc.) keeps rising, making it more difficult to make ends meet and save for retirement.","Immigration adds to Canada's diversity, enables us to compensate for a declining birthrate and complements the skills and knowledge needed in the economy."
669,Stable,Safe and interesting
670,,
671,managing,
672,not so good not bad,Good
673,It hasn't improved at all under the current government.,Not sure. As long as people contribute to helping others it's fun.
674,STRESSFULL,OVERPOWERED
675,Pretty content but would like a little more so I can afford healthy food.,Its important and the right thing to do
676,"Disappointed. Hopefully, things will turn around and get better.","It is not a good idea. Canada might

 become too over crowded and over 

populated."
677,I don't make enough to make my ends meet.,"We should allow less immigration.  We need to take care of Canadians first and foremost, not immigrants!"
678,I am o.k. with my financial situation since I save since I start working,Immigration is fine as long as the government can handle the cost and everything in order.
679,,Ongoing
680,oas & cpp should go up with the increase of cost of living e.g. gas,"it is our duty to help

 BUT 

it should not take 3 years to deport those that are not refugees

. THAT'S TOO LONG AND TO COSTLY FOR THE TAX PAYER"
681,"unsure if it will carry me into the next year, let alone safely into retirement","Necessary, but Canadians should not suffer for it for lack of jobs or safety or health care"
682,Ok,Be cautious
683,,
684,,
685,Need more to put away for retirement which is not too far away,I feel they should be welcomed and given the same opportunity as Canadians but no more than that
686,I AM TERRIFIED ABOUT RETIREMENT AND BEING ABLE TO SURVIVE FINANCIALLY.,I DO NOT OBJECT BUT WE NEED TO PUT A CAP ON HOW MANY ARE ALLOWED.
687,At this stage in my life thought I would have more to live on. but pension stays the same and expenses as well as cost for living keep going up. Not easy being a senior living on a fixed income.,We have way too many. They are putting a strain on social services. we should be taking care of our own people first. As far as jobs they do work in minimum jobs which no one wants to do. But then it means more government handouts because even the immigrants can't make a decent living.
688,comfortable and stable,policies are too lax
689,I live comfortably,
690,It could do better,Canada needs them
691,Not very good,Well Canadians should come first with housing. They leave the Canadians out of housing and on the street when we should come first. Tics me off our Canadians are on the street
692,Average income pay my bills not a lot of extra,We need to look after our own people first. There are far too many immigrants already taking over Canada
693,We have worked hard and done well.  The government has not helped us.  We pay more than our fair share of taxes.,In a lot of cases the immigrants will do work that the Canadian people won't.  Usually they are very hard working people.
694,It would be fine if I didn't have a partner who likes to spend money,It's fine. Do not mind it.
695,We must live very frugally to ensure that we will have enough to live on in the future.,"Many people who immigrate to Canada do not want to be Canadian, they want to maintain their own culture as well as dual citizenship. They are only interested in Canadian benefits. They do not want to be a part of Canada. They stay in their own little groups and Canadians are forced to give up their culture so that they don't hurt the feelings of immigrants."
696,I would like a little less debt and be able to live within my means more.,I feel we make it too challenging for those coming from countries like the UK to work to get citizenship and far too easy for refugees and their families to come over and give them free stuff to start their lives over when. We should in fact help them learn English and get jobs
697,doing ok,positive
698,"Our household pays a lot in taxes and for utilities.  It is hard to get ahead when some much of our take home pay goes directly to the government, especially when I do not use many of the service like child care, medical, social programs, pension.  Worried that the economy is not sustainable and there will be no support when I retire.","I'm not opposed to immigration, although I see an influx of people, more traffic and more ethnic people than aged or white people in some communities.  Many of these people are driving luxury vehicles and living in nicer houses than mine.  My question is how is this regulated?"
699,,
700,,
701,My partner and I are on disability and we have to decide between hydro and food for our family. We can barely live now. It makes it really hard for us.,Legal immigration I accept. Illegal immigration with no background checks is very unacceptable because we don't know these people and could cause harm to many Canadians.
702,could be better,if legal and screened there is no problem
703,just coping. not saving much,out of control
704,"I feel improvements could and are being made but that is by us, not the government",I think the system was great but Canada tries to please all & this is not always a good thing
705,Not good,Should help Canadians first
706,worried that I won't have enough to cover the monthly bills,Canada should look after its own people first
707,"I am a retired nurse. While I have a fairly decent pension, there is no money for travel or doing major upgrades ( that are needed) to my home. I am managing to save a little every month but only just a little.",I have no problem with people wanting to come to Canada for a better way of life.
708,Better than years earlier,Don't have a problem if they are screened properly
709,Lost my job and liberals took away the transit tax credit which really helped me.,"Increasing crime rates, loss of jobs to foreigners, immigrants get free handouts"
710,just fine,keep our doors open
711,Good,Very important especially refugees
712,Could be better by having incomes increased,If your not born in Canada then you should not be allowed to immigrate here you should have to stay in your own country
713,worried,I welcome it
714,,
715,Bad very bad,Don't want them
716,Our Military Pension is low. Spouse after 31 years of service still has to work a full time job Every year we owe more in taxes because of pension. Considering the 8x he was deployed in conflict situations and the ware and tare it has taken on his body physically and emotionally he should be at home resting easy.,"My Father Immigrated from Scotland in 1950""s. I am open. He served in the CDN Forces for over 30 years. My fathers family did not get the golden hand shake when he came and my grandfather had to come here 2 years before and work and save for the passage for the rest of the family to come. The government spends to much time cuddling the new immigrants and give them an almost like star-like status. There should be a cap on immigration and preferences to War-torn countries"
717,Wish it was better but don't have much choice,Something we must do but with caution
718,I don't make enough,I like that we are helping
719,No comment,No comment
720,ugh,That's how my ancestors came here
721,I AM DOING ALL RIGHT.  I AM ABLE TO BUY MYSELF THINGS I NEED,CANADA IS ACCEPTING TOO MANY AT ONE TIME.  WILL NEED MORE JOBS AND HOUSING IF IT CONTINUES
722,stressed the eff out - I lose a lot of sleep and have ulcers over it!,take care of those at home first. the mental health crisis and homelessness issues in large cities. the drug abuse in rural settings need to be dealt with before we are giving the world to others.
723,It could be better.,Immigration is fine but I do believe if people want to live in our country they should take on our beliefs.
724,It's pretty good.,It's ok.
725,It's a struggle to get by and I have a full time job,Canada is a great place to go to
726,Livable at present but could not sustain a life changing negative event,"We are taking in too many, too fast, without thorough background checks and infrastructure to sustain the numbers properly. Something has to be changed to ensure new entrants are dispersed more evenly across the country to alleviate the expense from the few major cities they are now gravitating to."
727,Extremely positive,"White Canadians born in this country are now the minority! Decrease immigration & stop giving our money away to non-Canadian born citizens. Stop providing them with housing, welfare, health care & CPP, Eid or any other monetary support. Impose stronger rules for time spent in this country to no more than 3 months per year."
728,not very good,I this this is best from other country
729,"Comfortable, but restricting",I don't see a problem with it
730,I FEEL I AM LEFT BEHIND. I AM A SINGLE MOM IN THE MIDDLE INCOME BRACKET AND GET NO HELP FROM GOVERNMENT AT ALL,"THERE IS WAY TOO MUCH AT THIS MOMENT, THE GOVERNMENT SHOULD STOP ALLOWING REFUGEES IN AND PUT THOSE RESOURCES AND MONEY TWOARDS THE RESIDENTS OF Ontario"
731,Depending of government decisions,We need people in need immigration is necessary
732,"Not good

N",
733,Unhappy with them,"Unhappy  with them saying them lowing money the party is not doing anything about it , lowing the hydro bills for family that have high bill the party should show them promises"
734,,
735,"Worried, concerned for our future, and for our daughter's future.  The cost of living and housing is not affordable for the average person.",Not too concerned about it.  I trust that immigrants are being properly screened to ensure dangerous people are not being admitted.  I also love the diversity of Canada.
736,I am secure but concerned about the future for my adult daughter who has a disability and future housing is non-existent in this province due to backlog and waiting lists for housing.,Immigration is mainly positive and we are all immigrants anyways at some point in our family history
737,fine I guess,I'm all for it
738,"fairly good due to smart financial decisions made in the past, but somewhat uncertain in the present as my company is due to close in the next 3-6 months and I will be unemployed at that time.",good for the country and economy but needs  to be regulated
739,,"Way to lax on immigration and handing out too many benefits to immigrants while Canadians, seniors etc. are not even given half of what is given to others."
740,"taxes, insurance is too high along with hydro. had to make ends meet especially on pension",should be done legally not coming through US and walking across border. Hard to check backgrounds
741,Scared,I agree with it but I also think that they need to slow it down
742,struggling.,I think immigration has a negative impact on Canada hence why housing is unaffordable. less supply for current Canadians  therefore more demand for housing equals  in higher prices.
743,It really sucks,Hate it
744,"My partner and I can get by comfortably enough when we are both working. But he has been laid off, so things are definitely tight right now.  I have a pension through my job, but neither of us have personal savings for retirement. Our debt load is not very high, but it is still a challenge to chip away at it.","Immigration is necessary and beneficial to Canada. I suspect that when people get upset about ""immigrants,"" they are actually upset about ""non-white immigrants."""
745,just getting by,a good thing as long as immigrants help the Canadian economy
746,We are just comfortable but when I was diagnosed with Cervical Dystonia five years ago my treatments were covered.  Now we are going on the trillium plan as my husbands plan from work has exceeded and will start back up but not for several months.  Due to all of this we are finding it harder on us and trying to get ready for retirement.,"We all immigrated to Canada at one time.  I know in 1915 my grandparents came from Scotland, Ireland and England.  Looking back at that we all came from somewhere.  Now that being said I have nothing against those coming to Canada but first the government needs to recognize those already living here.  Jobs, our costs of living, our taxes.  How many more can we afford to come into our country?  Lets help those that live here first and stop the immigration until that is better."
747,I would like to earn more money but my profession does not leave room for this,too many immigrants are coming to Canada and we have too many people in our own country who need assistance.  These should be taken care of first.
748,low income,they should helped but not given extra benefits
749,great customer service,it should be more strict
750,Not very good.,There is more support for immigrants than the Ontario/Canadian indigenous population and that is NOT okay.
751,getting by,way too much immigration coming into Canada
752,not enough to buy basic necessities,too laxed
753,"Retired and doing OK. Biggest concern now health care availability. You wait for months/years. My husband has serious neurological condition - csf leak and his neurologist is suggesting ""go to USA"". We certainly can't afford that!",We are too liberal letting almost anyone into Canada giving them free health care housing etc. when our Canadian born are pushed back in the line for health care education etc.
754,"Positive, I raised money for retirement and for family needs and for living comfortable (I was raising money from the age 25, from the first day on my own). I knew it that was the best decision) and today I am a winner.","Immigration could become more than positive, could become a benefactor to Canadian economy - IF Canada will made the right decision about.

 Immigrants come from very poor countries, without of opportunity for jobs and peaceful living, with living on edge of almost starvation in they past life and no place to stay with family and kids, with kids not in schools. 

IF CANADA WELCOME THEM ""IN"" - THEN - - CANADA COULD SEND THEM TO NORTH PROVINCES AND ALL WHERE CANADA NEED PEOPLE TO WORK AND POPULATE OURS LAND - WE WILL WIN ON THAT DECISION!!!

Immigrants will be happy and welcome there, got jobs, populate empty places, open new companies, businesses and support farmers as well, but ... before Government must help to that happened and quick build there new schools and also can ask publicly all business owners to start build and investing in a opening new places there to create jobs for immigrants to work in up North. 

In big cities immigrants are not to much ""wanted"" by Canadians and not to ""liked"", because of fact of competitions for jobs and because  without of jobs they are looking for 

a Welfare, so and Immigrants innocent kids who come first time to big cities are introduced by margin and criminals to drugs and illegal activities. 

WHEN CANADA ARE INVITING IMMIGRANTS, MUST TO HAVE A GOOD PLANS FOR THEM,WHEN THEY IN.it look like is no plan and someone fail when open door then just live them hopeless - for them self."
755,I would like to be better situated financially at this stage in my life however pay rates from companies have not kept up with the cost of living increases.,I think that we need to slow down the immigration numbers simply because we cannot support the population we have now and choosing to increase the population would be detrimental to everyone living here now.
756,unhappy,everyone should come in legally
757,"It could be better, we live pay check to pay check with nothing for emergencies like vehicle repairs. We could probably do better with saving but it's hard","Immigration is important but  I'm Caucasian, Canadian born and there are definitely times I feel like a minority in my own backyard"
758,,
759,Not enough,
760,"Extremely stressed that I may not be able to make ends meet.  I've had to take on extra work, which is ridiculous given that I make $104000",It's necessary to maintain our population.
761,We have always lived below our income and have actively saved for retirement so we are well prepared for retirement.,It needs to increase. Most immigrants need to leave their country as it has become unlivable. There is plenty of room in Canada and all are welcome.
762,,
763,"My spouse and I have worked hard, saved and invested wisely, and are not extravagant when it comes to spending.  So, we are comfortable from a financial perspective.","Canada was built on immigrants.  While times have changed, we have always had immigrants who made a positive contribution and those who made a negative contribution, i.e. residential schools -'immigrants' taking children native to this land away from their families and placing them in horrible environments."
764,OK for now,it's ok
